id,roll_no,full_name,university_email,personal_email,gender,date_of_birth,phone,address_city,address_state,dept_id,dept_code,batch,semester,division,lab_group,tenth_percentage,twelfth_percentage,cgpa,is_hosteller,guardian_name,guardian_phone,admission_date,is_active
11,25BCP011,Jenil Mistry,25bcp011@sot.pdpu.ac.in,jenil.mistry731@gmail.com,Male,0019-08-09,+917391751878,Himatnagar,Gujarat,1,CP,2025,3,1,G2,85.5,78.85,9.0,True,Darshana Mistry,+917261953189,2025-07-18,True
12,25BCP012,Janvi Ramani,25bcp012@sot.pdpu.ac.in,janvi.ramani399@yahoo.com,Female,0018-02-10,+919612153089,Patan,Gujarat,1,CP,2025,3,1,G2,78.0,94.7,9.14,True,Mehul Ramani,+919997356828,2025-07-03,True
13,25BCP013,Soham Dalal,25bcp013@sot.pdpu.ac.in,soham.dalal399@gmail.com,Male,0019-11-20,+919877583839,Navsari,Gujarat,1,CP,2025,3,1,G2,85.41,78.43,7.27,True,Dhairya Dalal,+916523076025,2025-07-21,True
14,25BCP014,Pranav Kacha,25bcp014@sot.pdpu.ac.in,pranav.kacha335@yahoo.com,Male,0019-11-23,+919398775766,Jaipur,Rajasthan,1,CP,2025,3,1,G2,91.5,78.36,8.91,False,Kesha Kacha,+916604988121,2025-07-03,True
15,25BCP015,Tirth Dhaduk,25bcp015@sot.pdpu.ac.in,tirth.dhaduk773@gmail.com,Male,0018-03-05,+917314061901,Indore,Madhya Pradesh,1,CP,2025,3,1,G2,87.6,84.43,8.5,False,Jeel Dhaduk,+917608482316,2025-07-31,True
16,25BCP016,Rishi Sompura,25bcp016@sot.pdpu.ac.in,rishi.sompura797@gmail.com,Male,0018-12-02,+918216070149,Dahod,Gujarat,1,CP,2025,3,1,G2,89.73,76.11,9.09,False,Bhavna Sompura,+919525904456,2025-08-06,True
17,25BIT001,Isha Kanani,25bit001@sot.pdpu.ac.in,isha.kanani816@gmail.com,Female,0018-03-26,+918672030854,Vapi,Gujarat,2,IT,2025,3,1,H1,92.2,93.66,9.91,True,Sarthak Kanani,+918113585139,2025-08-02,True
18,25BIT002,Preet Raval,25bit002@sot.pdpu.ac.in,preet.raval631@outlook.com,Male,0020-09-17,+919567694547,Deesa,Gujarat,2,IT,2025,3,1,H1,83.02,73.45,7.73,False,Malhar Raval,+917991990632,2025-08-05,True
19,25BIT003,Kenil Oza,25bit003@sot.pdpu.ac.in,kenil.oza507@gmail.com,Male,0019-10-28,+917623502759,Deesa,Gujarat,2,IT,2025,3,1,H1,80.58,74.59,8.68,True,Nikita Oza,+918740116562,2025-07-11,True
20,25BIT004,Shubham Kapadia,25bit004@sot.pdpu.ac.in,shubham.kapadia662@yahoo.com,Male,0020-10-02,+919951405188,Bhuj,Gujarat,2,IT,2025,3,1,H1,73.24,78.63,8.95,True,Nisarg Kapadia,+917428786222,2025-08-03,True
21,25BIT005,Pooja Solanki,25bit005@sot.pdpu.ac.in,pooja.solanki720@outlook.com,Female,0020-07-18,+918429233929,Godhra,Gujarat,2,IT,2025,3,1,H1,90.23,73.66,8.27,True,Het Solanki,+918228370927,2025-07-11,True
22,25BIT006,Hiral Kapadia,25bit006@sot.pdpu.ac.in,hiral.kapadia103@outlook.com,Female,0019-02-02,+918344258191,Jetpur,Gujarat,2,IT,2025,3,1,H2,83.45,66.83,8.91,True,Jignesh Kapadia,+917394539550,2025-08-07,True
23,25BIT007,Aniket Chavda,25bit007@sot.pdpu.ac.in,aniket.chavda588@gmail.com,Male,0019-08-06,+919614015466,Anand,Gujarat,2,IT,2025,3,1,H2,76.08,76.42,9.09,True,Aniket Chavda,+918612957813,2025-06-26,True
24,25BIT008,Arjun Thakkar,25bit008@sot.pdpu.ac.in,arjun.thakkar255@gmail.com,Male,0018-08-31,+919751028618,Rajkot,Gujarat,2,IT,2025,3,1,H2,92.4,85.69,9.73,False,Pradip Thakkar,+919583736219,2025-07-09,True
25,25BIT009,Krunal Rajyaguru,25bit009@sot.pdpu.ac.in,krunal.rajyaguru971@gmail.com,Male,0019-03-02,+917384161612,Jodhpur,Rajasthan,2,IT,2025,3,1,H2,83.97,81.76,9.86,False,Hardik Rajyaguru,+916268075622,2025-08-06,True
26,25BIT010,Urvi Bakshi,25bit010@sot.pdpu.ac.in,urvi.bakshi704@gmail.com,Female,0019-04-24,+918945923902,Gondal,Gujarat,2,IT,2025,3,1,H2,82.09,84.13,6.5,False,Sanjay Bakshi,+917556489494,2025-07-19,True
27,25BEC001,Tirth Parekh,25bec001@sot.pdpu.ac.in,tirth.parekh610@outlook.com,Male,0019-08-15,+919233523720,Porbandar,Gujarat,3,EC,2025,3,1,F1,82.61,85.25,7.59,False,Nisarg Parekh,+918637377910,2025-06-30,True
28,25BEC002,Anjali Thaker,25bec002@sot.pdpu.ac.in,anjali.thaker784@gmail.com,Female,0019-07-06,+916919382051,Valsad,Gujarat,3,EC,2025,3,1,F1,89.98,82.13,8.73,False,Ashok Thaker,+919398668350,2025-08-02,True
29,25BEC003,Yash Thaker,25bec003@sot.pdpu.ac.in,yash.thaker329@outlook.com,Male,0018-08-03,+917454123990,Kalol,Gujarat,3,EC,2025,3,1,F1,83.48,91.74,8.86,True,Bhavesh Thaker,+919973559879,2025-07-16,True
30,25BEC004,Kush Chokshi,25bec004@sot.pdpu.ac.in,kush.chokshi424@yahoo.com,Male,0018-04-22,+917656670062,Veraval,Gujarat,3,EC,2025,3,1,F2,93.64,82.09,7.27,True,Jyoti Chokshi,+919916033628,2025-06-20,True
31,25BEC005,Jainam Zaveri,25bec005@sot.pdpu.ac.in,jainam.zaveri997@gmail.com,Male,0019-05-06,+917433665422,Gondal,Gujarat,3,EC,2025,3,1,F2,89.11,73.97,8.0,False,Bhavya Zaveri,+917221827951,2025-06-27,True
32,25BEC006,Samarth Ratanpara,25bec006@sot.pdpu.ac.in,samarth.ratanpara468@gmail.com,Male,0018-10-24,+919304666325,Porbandar,Gujarat,3,EC,2025,3,1,F2,78.07,84.84,9.55,False,Alpesh Ratanpara,+917174958005,2025-07-20,True
33,25BME001,Parth Pandya,25bme001@sot.pdpu.ac.in,parth.pandya858@outlook.com,Male,0020-09-29,+917579476614,Bengaluru,Karnataka,4,ME,2025,3,1,A1,85.5,83.95,9.82,False,Utsav Pandya,+919588922557,2025-08-05,True
34,25BME002,Jiya Thakkar,25bme002@sot.pdpu.ac.in,jiya.thakkar396@yahoo.com,Female,0018-11-08,+919139749508,Bhuj,Gujarat,4,ME,2025,3,1,A1,96.14,78.21,9.45,True,Nidhi Thakkar,+916572775194,2025-08-04,True
35,25BME003,Smit Rawal,25bme003@sot.pdpu.ac.in,smit.rawal481@gmail.com,Male,0019-06-27,+918769219685,Nadiad,Gujarat,4,ME,2025,3,1,A1,90.47,75.38,9.09,False,Prakash Rawal,+918824085842,2025-06-29,True
36,25BME004,Deep Ratanpara,25bme004@sot.pdpu.ac.in,deep.ratanpara647@gmail.com,Male,0019-08-12,+917901834280,Delhi,Delhi,4,ME,2025,3,1,A2,86.32,78.71,8.55,True,Sonal Ratanpara,+916576396216,2025-06-24,True
37,25BME005,Krunal Kachhadiya,25bme005@sot.pdpu.ac.in,krunal.kachhadiya544@gmail.com,Male,0020-04-23,+917282518553,Rajkot,Gujarat,4,ME,2025,3,1,A2,91.53,82.17,9.32,True,Nihar Kachhadiya,+917634366139,2025-06-29,True
38,25BME006,Kalp Rawal,25bme006@sot.pdpu.ac.in,kalp.rawal76@gmail.com,Male,0020-06-23,+918730900313,Ahmedabad,Gujarat,4,ME,2025,3,1,A2,91.3,81.97,7.41,True,Sadhana Rawal,+918590523712,2025-07-08,True
39,25BCE001,Hitarth Acharya,25bce001@sot.pdpu.ac.in,hitarth.acharya717@outlook.com,Male,0019-08-28,+916991246046,Gandhinagar,Gujarat,5,CE,2025,3,1,B1,94.09,84.73,8.82,False,Ved Acharya,+916751124015,2025-07-26,True
40,25BCE002,Jay Karia,25bce002@sot.pdpu.ac.in,jay.karia644@gmail.com,Male,0018-07-18,+916431714152,Navsari,Gujarat,5,CE,2025,3,1,B1,78.63,70.77,6.45,False,Mit Karia,+917196779973,2025-08-02,True
41,25BCE003,Malhar Dalal,25bce003@sot.pdpu.ac.in,malhar.dalal851@outlook.com,Male,0018-12-03,+918985503942,Surendranagar,Gujarat,5,CE,2025,3,1,B1,91.43,89.88,9.73,False,Mahi Dalal,+918963538119,2025-07-13,True
42,25BCE004,Jash Valand,25bce004@sot.pdpu.ac.in,jash.valand810@gmail.com,Male,0020-03-19,+916383960237,Veraval,Gujarat,5,CE,2025,3,1,B2,97.38,95.9,8.82,False,Dilip Valand,+918727666622,2025-07-13,True
43,25BCE005,Neel Sojitra,25bce005@sot.pdpu.ac.in,neel.sojitra938@outlook.com,Male,0019-03-30,+916782259766,Jetpur,Gujarat,5,CE,2025,3,1,B2,87.28,98.36,9.86,False,Manasi Sojitra,+919225279834,2025-07-25,True
44,25BCE006,Samarth Vachhani,25bce006@sot.pdpu.ac.in,samarth.vachhani602@yahoo.com,Male,0018-11-13,+919803217037,Wadhwan,Gujarat,5,CE,2025,3,1,B2,90.07,97.03,9.86,True,Om Vachhani,+918135128844,2025-08-01,True
45,25BCH001,Pooja Sanghvi,25bch001@sot.pdpu.ac.in,pooja.sanghvi558@outlook.com,Female,0020-01-05,+916527499187,Vapi,Gujarat,6,CH,2025,3,1,C1,82.48,85.97,8.95,True,Tanvi Sanghvi,+916811642514,2025-08-02,True
46,25BCH002,Aniket Dave,25bch002@sot.pdpu.ac.in,aniket.dave601@gmail.com,Male,0019-03-19,+917452788129,Anand,Gujarat,6,CH,2025,3,1,C1,86.09,93.72,8.75,False,Geeta Dave,+916397721596,2025-08-07,True
47,25BCH003,Dhairya Dabhi,25bch003@sot.pdpu.ac.in,dhairya.dabhi367@gmail.com,Male,0019-05-03,+918116944811,Morbi,Gujarat,6,CH,2025,3,1,C1,93.95,94.83,9.75,True,Mahesh Dabhi,+919664880035,2025-06-28,True
48,25BCH004,Mit Gohil,25bch004@sot.pdpu.ac.in,mit.gohil470@outlook.com,Male,0018-03-05,+916614302907,Ankleshwar,Gujarat,6,CH,2025,3,1,C2,68.12,85.66,8.6,False,Darshan Gohil,+919864935082,2025-06-22,True
49,25BCH005,Arjun Godhani,25bch005@sot.pdpu.ac.in,arjun.godhani391@outlook.com,Male,0020-12-22,+918587173220,Nadiad,Gujarat,6,CH,2025,3,1,C2,87.25,89.14,7.8,False,Rakesh Godhani,+916802992685,2025-07-30,True
50,25BCH006,Janvi Thaker,25bch006@sot.pdpu.ac.in,janvi.thaker748@yahoo.com,Female,0018-07-14,+918558234365,Navsari,Gujarat,6,CH,2025,3,1,C2,73.76,74.27,9.45,True,Dhruvin Thaker,+919172083844,2025-07-15,True
51,26BCP001,Aryan Hirpara,26bcp001@sot.pdpu.ac.in,aryan.hirpara687@outlook.com,Male,0017-09-08,+919479673044,Dahod,Gujarat,1,CP,2026,1,1,G1,76.74,87.38,,False,Rutvi Hirpara,+916408839723,2026-06-11,True
52,26BCP002,Zeel Sanghvi,26bcp002@sot.pdpu.ac.in,zeel.sanghvi118@outlook.com,Female,0018-07-25,+917966747347,Jetpur,Gujarat,1,CP,2026,1,1,G1,85.54,80.16,,True,Paresh Sanghvi,+916753903309,2026-06-10,True
53,26BCP003,Krisha Kachhadiya,26bcp003@sot.pdpu.ac.in,krisha.kachhadiya580@gmail.com,Female,0019-04-01,+916252336745,Botad,Gujarat,1,CP,2026,1,1,G1,81.92,89.73,,False,Dhara Kachhadiya,+917503935666,2026-06-04,True
54,26BCP004,Kunj Contractor,26bcp004@sot.pdpu.ac.in,kunj.contractor691@gmail.com,Male,0017-06-17,+918575788930,Jamnagar,Gujarat,1,CP,2026,1,1,G1,88.03,87.09,,False,Priyansh Contractor,+919393310667,2026-06-11,True
55,26BCP005,Shivam Vachhani,26bcp005@sot.pdpu.ac.in,shivam.vachhani47@outlook.com,Male,0018-03-28,+919743520276,Junagadh,Gujarat,1,CP,2026,1,1,G1,95.32,81.81,,True,Jainil Vachhani,+917920511515,2026-06-09,True
56,26BCP006,Samarth Dalal,26bcp006@sot.pdpu.ac.in,samarth.dalal74@outlook.com,Male,0019-03-25,+916568387228,Anand,Gujarat,1,CP,2026,1,1,G1,77.03,90.24,,True,Mira Dalal,+919715683222,2026-06-10,True
57,26BCP007,Parth Bakshi,26bcp007@sot.pdpu.ac.in,parth.bakshi852@yahoo.com,Male,0019-01-12,+916568915703,Surat,Gujarat,1,CP,2026,1,1,G1,84.09,88.2,,False,Yug Bakshi,+919662600500,2026-06-11,True
58,26BCP008,Nikita Parekh,26bcp008@sot.pdpu.ac.in,nikita.parekh928@gmail.com,Female,0018-12-17,+918881017363,Mehsana,Gujarat,1,CP,2026,1,1,G1,93.79,90.71,,False,Dhruvil Parekh,+917210385522,2026-06-10,True
59,26BCP009,Kalp Sheth,26bcp009@sot.pdpu.ac.in,kalp.sheth476@yahoo.com,Male,0019-07-09,+918773469560,Nadiad,Gujarat,1,CP,2026,1,1,G2,74.8,84.66,,True,Ronak Sheth,+919777944609,2026-06-04,True
60,26BCP010,Milan Jadeja,26bcp010@sot.pdpu.ac.in,milan.jadeja661@gmail.com,Male,0017-07-04,+919596832859,Deesa,Gujarat,1,CP,2026,1,1,G2,82.71,89.3,,False,Bhakti Jadeja,+916582897882,2026-06-06,True
61,26BCP011,Hardika Trivedi,26bcp011@sot.pdpu.ac.in,hardika.trivedi732@outlook.com,Female,0017-06-22,+917142028540,Modasa,Gujarat,1,CP,2026,1,1,G2,87.03,85.46,,True,Priyansh Trivedi,+917490732457,2026-06-03,True
62,26BCP012,Meet Valand,26bcp012@sot.pdpu.ac.in,meet.valand291@yahoo.com,Male,0018-06-01,+917457944766,Patan,Gujarat,1,CP,2026,1,1,G2,87.86,88.09,,True,Mihir Valand,+918804433388,2026-06-12,True
63,26BCP013,Rachana Ghodasara,26bcp013@sot.pdpu.ac.in,rachana.ghodasara687@gmail.com,Female,0019-12-15,+916793663866,Jamnagar,Gujarat,1,CP,2026,1,1,G2,91.33,81.51,,False,Aditya Ghodasara,+918431642423,2026-06-07,True
64,26BCP014,Het Parekh,26bcp014@sot.pdpu.ac.in,het.parekh678@gmail.com,Male,0018-11-21,+917741288486,Jaipur,Rajasthan,1,CP,2026,1,1,G2,96.95,88.4,,True,Vipul Parekh,+917874364348,2026-06-03,True
65,26BCP015,Aman Shukla,26bcp015@sot.pdpu.ac.in,aman.shukla240@yahoo.com,Male,0019-12-30,+917432288618,Vapi,Gujarat,1,CP,2026,1,1,G2,83.17,93.44,,False,Hardika Shukla,+918828326405,2026-06-13,True
66,26BCP016,Keval Rathod,26bcp016@sot.pdpu.ac.in,keval.rathod894@gmail.com,Male,0018-05-28,+916788460744,Himatnagar,Gujarat,1,CP,2026,1,1,G2,81.37,77.41,,False,Darshan Rathod,+916406084084,2026-06-05,True
67,26BIT001,Harsh Zaveri,26bit001@sot.pdpu.ac.in,harsh.zaveri906@yahoo.com,Male,0018-12-17,+916545492166,Modasa,Gujarat,2,IT,2026,1,1,H1,91.0,88.51,,True,Jeel Zaveri,+919187623171,2026-06-05,True
68,26BIT002,Manan Lakhani,26bit002@sot.pdpu.ac.in,manan.lakhani460@yahoo.com,Male,0017-01-11,+916120405269,Gondal,Gujarat,2,IT,2026,1,1,H1,91.87,85.18,,True,Kinjal Lakhani,+919219385981,2026-06-04,True
69,26BIT003,Jeel Nanavati,26bit003@sot.pdpu.ac.in,jeel.nanavati114@gmail.com,Male,0019-10-21,+916778556450,Vapi,Gujarat,2,IT,2026,1,1,H1,91.01,73.1,,False,Dhruvil Nanavati,+918560891752,2026-06-09,True
70,26BIT004,Ruchi Vora,26bit004@sot.pdpu.ac.in,ruchi.vora400@gmail.com,Female,0019-08-21,+916782546314,Jamnagar,Gujarat,2,IT,2026,1,1,H1,78.45,84.06,,True,Manish Vora,+916483426624,2026-06-10,True
71,26BIT005,Mihir Gandhi,26bit005@sot.pdpu.ac.in,mihir.gandhi46@gmail.com,Male,0018-12-23,+918973498494,Gandhinagar,Gujarat,2,IT,2026,1,1,H1,73.69,85.54,,False,Rekha Gandhi,+919846668526,2026-06-07,True
72,26BIT006,Ankur Ratanpara,26bit006@sot.pdpu.ac.in,ankur.ratanpara324@gmail.com,Male,0018-09-28,+919975535611,Deesa,Gujarat,2,IT,2026,1,1,H2,89.57,84.6,,False,Mehul Ratanpara,+917407209235,2026-06-05,True
73,26BIT007,Aniket Luhar,26bit007@sot.pdpu.ac.in,aniket.luhar917@yahoo.com,Male,0019-03-03,+918300593456,Junagadh,Gujarat,2,IT,2026,1,1,H2,77.86,86.29,,False,Sanjay Luhar,+918960226208,2026-06-08,True
74,26BIT008,Krish Vora,26bit008@sot.pdpu.ac.in,krish.vora457@outlook.com,Male,0019-05-23,+917840629322,Palanpur,Gujarat,2,IT,2026,1,1,H2,89.99,87.65,,True,Kirit Vora,+918760191749,2026-06-06,True
75,26BIT009,Kenil Mistry,26bit009@sot.pdpu.ac.in,kenil.mistry976@gmail.com,Male,0017-03-05,+917752376434,Mumbai,Maharashtra,2,IT,2026,1,1,H2,89.53,92.88,,False,Dhairya Mistry,+916353398109,2026-06-07,True
76,26BIT010,Ved Savani,26bit010@sot.pdpu.ac.in,ved.savani543@gmail.com,Male,0019-01-22,+919437568796,Ankleshwar,Gujarat,2,IT,2026,1,1,H2,91.41,77.42,,False,Dev Savani,+916889924866,2026-06-03,True
77,26BEC001,Samarth Rathod,26bec001@sot.pdpu.ac.in,samarth.rathod220@yahoo.com,Male,0018-08-08,+919314939857,Mandvi,Gujarat,3,EC,2026,1,1,F1,93.15,92.93,,True,Shreya Rathod,+917865975088,2026-06-13,True
78,26BEC002,Mira Darji,26bec002@sot.pdpu.ac.in,mira.darji729@gmail.com,Female,0017-12-23,+918646272321,Bhavnagar,Gujarat,3,EC,2026,1,1,F1,79.49,85.01,,True,Foram Darji,+917948656610,2026-06-06,True
79,26BEC003,Advait Raval,26bec003@sot.pdpu.ac.in,advait.raval68@gmail.com,Male,0018-09-26,+919869801588,Dahod,Gujarat,3,EC,2026,1,1,F1,89.06,64.43,,False,Paresh Raval,+919984053945,2026-06-04,True
80,26BEC004,Arjun Oza,26bec004@sot.pdpu.ac.in,arjun.oza787@gmail.com,Male,0017-09-22,+919639945876,Himatnagar,Gujarat,3,EC,2026,1,1,F2,76.97,82.36,,False,Devarsh Oza,+917426551245,2026-06-10,True
81,26BEC005,Harsh Trivedi,26bec005@sot.pdpu.ac.in,harsh.trivedi257@gmail.com,Male,0018-02-07,+918234400576,Udaipur,Rajasthan,3,EC,2026,1,1,F2,98.71,74.55,,False,Bhavya Trivedi,+917735449477,2026-06-06,True
82,26BEC006,Nikita Rana,26bec006@sot.pdpu.ac.in,nikita.rana667@outlook.com,Female,0018-03-08,+919763688866,Surat,Gujarat,3,EC,2026,1,1,F2,99.0,82.55,,False,Deep Rana,+918789242701,2026-06-11,True
83,26BME001,Rudra Modi,26bme001@sot.pdpu.ac.in,rudra.modi451@gmail.com,Male,0019-05-02,+919598690974,Veraval,Gujarat,4,ME,2026,1,1,A1,87.6,83.2,,True,Kush Modi,+918888340979,2026-06-02,True
84,26BME002,Dhairya Macwan,26bme002@sot.pdpu.ac.in,dhairya.macwan461@outlook.com,Male,0018-05-23,+917203950725,Mandvi,Gujarat,4,ME,2026,1,1,A1,89.09,83.52,,True,Hina Macwan,+919366578178,2026-06-03,True
85,26BME003,Malhar Thakkar,26bme003@sot.pdpu.ac.in,malhar.thakkar511@yahoo.com,Male,0018-09-24,+919124885365,Surendranagar,Gujarat,4,ME,2026,1,1,A1,76.81,84.68,,True,Rishabh Thakkar,+917331009561,2026-06-10,True
86,26BME004,Samarth Bhanushali,26bme004@sot.pdpu.ac.in,samarth.bhanushali442@gmail.com,Male,0017-10-02,+918881155839,Nagpur,Maharashtra,4,ME,2026,1,1,A2,82.31,82.89,,True,Aman Bhanushali,+919154930149,2026-06-02,True
87,26BME005,Nandini Kapadia,26bme005@sot.pdpu.ac.in,nandini.kapadia846@outlook.com,Female,0017-09-01,+917203810954,Gondal,Gujarat,4,ME,2026,1,1,A2,88.7,91.42,,True,Nikita Kapadia,+918910637681,2026-06-10,True
88,26BME006,Sarthak Vekariya,26bme006@sot.pdpu.ac.in,sarthak.vekariya153@yahoo.com,Male,0019-11-22,+917452150647,Anand,Gujarat,4,ME,2026,1,1,A2,82.13,91.49,,False,Nilay Vekariya,+918737506993,2026-06-10,True
89,26BCE001,Sarthak Gohil,26bce001@sot.pdpu.ac.in,sarthak.gohil427@gmail.com,Male,0018-09-23,+916740926818,Botad,Gujarat,5,CE,2026,1,1,B1,85.2,82.73,,False,Daksha Gohil,+917874597473,2026-06-07,True
90,26BCE002,Prachi Lakhani,26bce002@sot.pdpu.ac.in,prachi.lakhani20@gmail.com,Female,0019-06-23,+918549661921,Vapi,Gujarat,5,CE,2026,1,1,B1,99.0,86.54,,True,Om Lakhani,+919890099255,2026-06-03,True
91,26BCE003,Avani Bhavsar,26bce003@sot.pdpu.ac.in,avani.bhavsar322@yahoo.com,Female,0017-12-21,+919672440825,Bharuch,Gujarat,5,CE,2026,1,1,B1,75.74,60.99,,True,Paresh Bhavsar,+918755064741,2026-06-09,True
92,26BCE004,Vatsal Nanavati,26bce004@sot.pdpu.ac.in,vatsal.nanavati325@yahoo.com,Male,0019-09-10,+918701818966,Botad,Gujarat,5,CE,2026,1,1,B2,86.45,85.74,,False,Krupa Nanavati,+918230861323,2026-06-13,True
93,26BCE005,Disha Purohit,26bce005@sot.pdpu.ac.in,disha.purohit44@outlook.com,Female,0018-08-13,+916471904990,Bhopal,Madhya Pradesh,5,CE,2026,1,1,B2,69.17,91.25,,False,Manish Purohit,+919329766590,2026-06-04,True
94,26BCE006,Krisha Kacha,26bce006@sot.pdpu.ac.in,krisha.kacha654@gmail.com,Female,0018-04-22,+916207586738,Vapi,Gujarat,5,CE,2026,1,1,B2,85.49,92.31,,True,Dhruvi Kacha,+917105563528,2026-06-10,True
95,26BCH001,Grishma Shukla,26bch001@sot.pdpu.ac.in,grishma.shukla293@outlook.com,Female,0017-05-02,+916800400428,Jetpur,Gujarat,6,CH,2026,1,1,C1,85.66,79.38,,False,Ketan Shukla,+916287974375,2026-06-06,True
96,26BCH002,Nilay Zala,26bch002@sot.pdpu.ac.in,nilay.zala951@gmail.com,Male,0018-11-18,+918587853601,Gondal,Gujarat,6,CH,2026,1,1,C1,85.68,90.58,,False,Samarth Zala,+917641394238,2026-06-11,True
97,26BCH003,Kavan Kapadia,26bch003@sot.pdpu.ac.in,kavan.kapadia15@gmail.com,Male,0018-11-22,+918709650444,Patan,Gujarat,6,CH,2026,1,1,C1,91.61,88.05,,False,Manav Kapadia,+919987973565,2026-06-06,True
98,26BCH004,Chirag Vora,26bch004@sot.pdpu.ac.in,chirag.vora242@yahoo.com,Male,0019-07-04,+918453932473,Delhi,Delhi,6,CH,2026,1,1,C2,82.64,86.74,,True,Aashka Vora,+918801887172,2026-06-06,True
99,26BCH005,Jeel Kalariya,26bch005@sot.pdpu.ac.in,jeel.kalariya707@outlook.com,Male,0017-08-29,+918494647257,Deesa,Gujarat,6,CH,2026,1,1,C2,91.69,81.51,,False,Dhruv Kalariya,+919264481748,2026-06-10,True
100,26BCH006,Parth Sompura,26bch006@sot.pdpu.ac.in,parth.sompura697@gmail.com,Male,0017-06-17,+919667121569,Jetpur,Gujarat,6,CH,2026,1,1,C2,85.58,89.86,,False,Ved Sompura,+916166312199,2026-06-05,True
