id,email,password_hash,role,subject_ref,is_active,last_login_at
24,25bit002@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,student,student:24,True,
25,25bit003@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,student,student:25,True,
26,25bit004@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,student,student:26,True,
27,25bit005@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,student,student:27,True,
28,25bit006@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,student,student:28,True,
29,25bit007@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,student,student:29,True,
30,25bit008@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,student,student:30,True,
31,25bit009@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,student,student:31,True,
32,25bit010@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,student,student:32,True,
33,25bec001@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,student,student:33,True,
34,25bec002@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,student,student:34,True,
35,25bec003@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,student,student:35,True,
36,25bec004@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,student,student:36,True,
37,25bec005@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,student,student:37,True,
38,25bec006@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,student,student:38,True,
39,25bme001@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,student,student:39,True,
40,25bme002@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,student,student:40,True,
41,25bme003@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,student,student:41,True,
42,25bme004@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,student,student:42,True,
43,25bme005@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,student,student:43,True,
44,25bme006@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,student,student:44,True,
45,25bce001@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,student,student:45,True,
46,25bce002@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,student,student:46,True,
47,25bce003@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,student,student:47,True,
48,25bce004@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,student,student:48,True,
49,25bce005@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,student,student:49,True,
50,25bce006@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,student,student:50,True,
51,25bch001@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,student,student:51,True,
52,25bch002@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,student,student:52,True,
53,25bch003@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,student,student:53,True,
54,25bch004@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,student,student:54,True,
55,25bch005@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,student,student:55,True,
56,25bch006@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,student,student:56,True,
57,26bcp001@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,student,student:57,True,
58,26bcp002@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,student,student:58,True,
59,26bcp003@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,student,student:59,True,
60,26bcp004@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,student,student:60,True,
61,26bcp005@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,student,student:61,True,
62,26bcp006@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,student,student:62,True,
63,26bcp007@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,student,student:63,True,
64,26bcp008@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,student,student:64,True,
65,26bcp009@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,student,student:65,True,
66,26bcp010@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,student,student:66,True,
67,26bcp011@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,student,student:67,True,
68,26bcp012@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,student,student:68,True,
69,26bcp013@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,student,student:69,True,
70,26bcp014@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,student,student:70,True,
71,26bcp015@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,student,student:71,True,
72,26bcp016@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,student,student:72,True,
73,26bcp017@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,student,student:73,True,
74,26bcp018@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,student,student:74,True,
75,26bcp019@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,student,student:75,True,
76,26bcp020@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,student,student:76,True,
77,26bcp021@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,student,student:77,True,
78,26bcp022@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,student,student:78,True,
79,26bit001@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,student,student:79,True,
80,26bit002@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,student,student:80,True,
81,26bit003@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,student,student:81,True,
82,26bit004@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,student,student:82,True,
83,26bit005@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,student,student:83,True,
84,26bit006@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,student,student:84,True,
85,26bit007@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,student,student:85,True,
86,26bit008@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,student,student:86,True,
87,26bit009@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,student,student:87,True,
88,26bit010@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,student,student:88,True,
89,26bec001@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,student,student:89,True,
90,26bec002@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,student,student:90,True,
91,26bec003@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,student,student:91,True,
92,26bec004@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,student,student:92,True,
93,26bec005@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,student,student:93,True,
94,26bec006@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,student,student:94,True,
95,26bme001@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,student,student:95,True,
96,26bme002@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,student,student:96,True,
97,26bme003@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,student,student:97,True,
98,26bme004@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,student,student:98,True,
99,26bme005@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,student,student:99,True,
100,26bme006@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,student,student:100,True,
101,26bce001@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,student,student:101,True,
102,26bce002@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,student,student:102,True,
103,26bce003@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,student,student:103,True,
104,26bce004@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,student,student:104,True,
105,26bce005@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,student,student:105,True,
106,26bce006@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,student,student:106,True,
107,26bch001@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,student,student:107,True,
108,26bch002@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,student,student:108,True,
109,26bch003@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,student,student:109,True,
110,26bch004@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,student,student:110,True,
111,26bch005@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,student,student:111,True,
112,26bch006@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,student,student:112,True,
113,jash.kacha@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,faculty,faculty:1,True,
114,jay.jadeja@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,faculty,faculty:2,True,
115,nilesh.shah@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,faculty,faculty:3,True,
116,milan.vyas@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,faculty,faculty:4,True,
117,hardika.bhavsar@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,faculty,faculty:5,True,
118,nihar.kadakia@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,faculty,faculty:6,True,
119,rekha.panchal@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,faculty,faculty:7,True,
120,amit.gajjar@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,faculty,faculty:8,True,
121,ashok.zala@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,faculty,faculty:9,True,
122,bansari.thakkar@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,faculty,faculty:10,True,
123,mehul.dhaduk@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,faculty,faculty:11,True,
124,vivek.parmar@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,faculty,faculty:12,True,
125,krish.thaker@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,faculty,faculty:13,True,
126,manasi.mistry@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,faculty,faculty:14,True,
127,aditya.vachhani@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,faculty,faculty:15,True,
128,vidhi.ramani@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,faculty,faculty:16,True,
